SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
598.63,       843.3865
599.07,        842.805
599.50,        842.488
599.94,        842.538
600.37,       842.8268
600.80,       843.0379
601.24,       842.6982
601.67,       841.7263
602.11,        840.274
602.54,       838.8156
602.97,         838.09
603.41,       838.2333
603.84,       839.0156
604.28,       839.8394
604.71,       839.7445
605.14,       838.5367
605.58,       836.5507
606.01,       834.3974
606.44,       833.0562
606.88,       832.7772
607.31,       833.2319
607.75,       834.0026
608.18,       834.4141
608.61,       834.2686
609.05,       833.8334
609.48,       833.2515
609.91,       832.7358
610.35,       832.3863
610.78,       832.0693
611.21,       831.9168
611.65,       832.1819
612.08,       832.8387
612.51,       833.7911
612.94,       834.6566
613.38,       834.8038
613.81,       834.1205
614.24,       832.8346
614.68,       831.3286
615.11,       830.2324
615.54,       829.7474
615.98,       829.6902
616.41,        829.944
616.84,        830.306
617.27,       830.6587
617.71,       831.0649
618.14,       831.4017
618.57,       831.4489
619.00,        831.197
619.44,        830.723
619.87,       830.2061
620.30,       829.9666
620.73,       830.0905
621.17,       830.4581
621.60,       831.0424
622.03,       831.7845
622.46,       832.6045
622.90,       833.5103
623.33,         834.25
623.76,       834.4343
624.19,        834.001
624.62,       833.0319
625.06,         831.92
625.49,       831.3159
625.92,       831.3715
626.35,       831.9343
626.78,       832.5746
627.22,       832.5842
627.65,       831.8147
628.08,       830.5015
628.51,       829.1204
628.94,       828.4224
629.37,       828.5786
629.81,        829.337
630.24,        830.243
630.67,        830.583
631.10,       830.1705
631.53,       829.2331
631.96,       828.1334
